codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
2905008,Caculé,BA,Guanambi,Guanambi,-14.474125,-42.331825,23336
2905107,Caém,BA,Jacobina,Feira de Santana,-11.162293,-40.242707,10736
2905156,Caetanos,BA,Vitória da Conquista,Vitória da Conquista,-14.309967,-40.988147,11370
2905206,Caetité,BA,Guanambi,Guanambi,-13.884498,-42.469123,54852
2905305,Cafarnaum,BA,Irecê,Irecê,-11.743825,-41.515825,18073
2905404,Cairu,BA,Valença,Santo Antônio de Jesus,-13.530919,-38.976124,18662
2905503,Caldeirão Grande,BA,Jacobina,Feira de Santana,-11.034450,-40.228429,13626
2905602,Camacan,BA,Camacan,Ilhéus ¿ Itabuna,-15.442627,-39.510635,22239
2905701,Camaçari,BA,Salvador,Salvador,-12.633032,-38.216452,323676
2905800,Camamu,BA,Valença,Santo Antônio de Jesus,-14.006050,-39.143645,31621
2905909,Campo Alegre de Lourdes,BA,Juazeiro,Juazeiro,-9.495098,-43.126893,32613
2906006,Campo Formoso,BA,Senhor do Bonfim,Juazeiro,-10.234288,-40.764362,75311
2906105,Canápolis,BA,Santa Maria da Vitoria,Barreiras,-13.095836,-44.227100,10668
2906204,Canarana,BA,Irecê,Irecê,-11.742259,-41.719224,25024
2906303,Canavieiras,BA,Camacan,Ilhéus ¿ Itabuna,-15.647708,-39.149165,34437
2906402,Candeal,BA,Feira de Santana,Feira de Santana,-11.890029,-39.197100,7914
2906501,Candeias,BA,Salvador,Salvador,-12.678238,-38.492646,74645
2906600,Candiba,BA,Guanambi,Guanambi,-14.404400,-42.840045,13410
2906709,Cândido Sales,BA,Vitória da Conquista,Vitória da Conquista,-15.347565,-41.263108,26472
2906808,Cansanção,BA,Euclides da Cunha,Paulo Afonso,-10.759974,-39.450132,39878
